video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields,cohort_date_utc,selected_at_ts_utc,rank_on_selection,selection_order,title,description,tags
NYi0LWgATFQ,sempio,2025-10-21,UCytWQ4MX2-YV1ktR5AqDSzA,PROF. S. BARONEVASSALLO LIBERTA' E OPINIONI🥂🤝,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,17,viewCount,L&#39; INTERVISTA A ANDREA SEMPIO DEL 2017...,non perdetevela...,
mnXLTyswfUM,sempio,2025-10-21,UCqxJdDi1BhWIc6732vpOAcQ,Leo A. Tridico,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,18,viewCount,"Garlasco, l&#39;avvocato di Lovati sull&#39;alibi di Andrea Sempio: &quot;Lo scontrino? Carta straccia&quot; #notizie",,
R1L_uQC_Lck,turtle chips,2025-10-21,UC31Yk-C0utaSfHlRigVyh7w,MJ Food and Travel,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,1,viewCount,Korean Chicken Flavored Turtle Chips REVIEW!! Another H-MART find! #hmart #foodieadventures #kfc,,
txYJdBpsRZA,lotte choco pie,2025-10-21,UCoH6ynXDssmQfRFocFYNbCw,Candy Creations ,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,1,viewCount,lotte choco pie🥧cadbury gems🍬#shorts #youtubeshorts #chocolate,lotte #choco #pie  cadbury gems  #shorts #youtubeshorts #chocolate #viral Hello Everyone welcome back to my channel I hope ...,shorts|youtubeshorts|viral|chocolate|cadbury gems|dairy milk lollipop|candy
abPLIrzZUSc,lotte choco pie,2025-10-21,UCHZ0ukmcoR-UFnRowxFcohw,Sweet Choco ,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,2,viewCount,✨Amazing Lotte Choco Pie😋 &amp;ASMR Gems Candy#shorts #gems #shortsfeed #trendingshorts,Amazing Lotte Choco Pie   &ASMR Gems Candy#shorts #gems #shortsfeed #trendingshorts Hello everyone welcome back to ...,Lotte choco pie|best choco pie|chocolate choco pie|Shorts feed|Yt shorts|YouTube feed|gems candy|Gems|Candy gems
hMq7J-VQMuc,lotte choco pie,2025-10-21,UCKa7h6dz84FxDlyf7PH5ErA,inx sam,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,3,viewCount,Drone carrying Lotte choco pie box remote control helicopter #shorts,,
l4S5n5Ym4yc,lotte choco pie,2025-10-21,UCFSnYLnIcSLTu3WrTk7h7cw,Balloon Short,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,4,viewCount,little baby Jung Lotte choco pie eating prank 🥶🥶🥶,,
wkmqyeGZkzU,lotte choco pie,2025-10-21,UCNsAa3n0fpQCsUccjsNkrXw,Joyfulflavours,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,5,viewCount,Lotte Choco Pie Smooth Juice Shake |Unique Fusion Drink #shorts#shortsfeed,Lotte Choco Pie Smooth Juice Shake | Unique Fusion Drink #shorts#shortsfeed.,choco pie|choco pie recipe|choco pie shake|chocolate dessert|chocolate fusion|chocolate milkshake recipe|chocolate shake|chocolate smoothie|decadent dessert|dessert|dessert drink|dessert fusion|dessert recipe|dessert smoothie|easy dessert|easy milkshake recipe|easy recipe|easy smoothies|easy sweets|fusion drink|lotte choco pie|milkshake|milkshake ideas|milkshake recipe|shake recipe|shorts|smoothie blend|smoothie drink|smoothie recipe
ZGbS97qssIg,lotte choco pie,2025-10-21,UCoUWp7J0k5J-pNf8NerFQSQ,Lotte Nepal,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,6,viewCount,"Lotte Choco Pie Kinau, Car Jitau | Official TV Commercial","Get ready for the sweetest chance to win big! Stand a chance to win a Seres Mini EV Car, Yamaha Ray ZR Scooter, and iPhone ...",Lotte Choco Pie|Lotte Nepal|Lotte Choco Pie Lucky Draw|Kinau Car Jitau|Win a Car Nepal|Khalti Lucky Draw|Choco Pie Ad Nepal|Lotte TVC|Choco Pie TV Commercial|Nepal Ads 2025|Lotte Choco Pie Offer|Scan and Win Nepal|Lotte Promotion|Lotte Choco Pie Nepal|Choco Pie Kinau Car Jitau|Best Nepali Ad|Stellar Studios
CqLTk0XZGz8,lotte choco pie,2025-10-21,UCqYWpR5-SXiRscVSR3PS7-A,Me&mymom😘,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,7,viewCount,Experiencing Lotte choco Pie ✨✨|Me&amp;mymom😘,,
