video_id,as_of_date_utc,as_of_ts_utc,viewCount,likeCount,commentCount
tBERjiT0Yz8,2025-10-05,2025-10-06T07:00:43.584825+00:00,8,0,0
oHpcTCLmpuo,2025-10-05,2025-10-06T07:00:43.584831+00:00,13,1,0
tmHyQBVx_0Q,2025-10-05,2025-10-06T07:00:43.584838+00:00,9,0,0
nbCmVu1XYh4,2025-10-05,2025-10-06T07:00:43.584844+00:00,9,0,0
Ow5VPtg6PKs,2025-10-05,2025-10-06T07:00:43.584851+00:00,4,0,0
2UMSs9OWSk0,2025-10-05,2025-10-06T07:00:43.584858+00:00,2,0,0
0IeIsZBI9aE,2025-10-06,2025-10-07T07:00:40.578743+00:00,217,3,0
EI00kj_fgSM,2025-10-06,2025-10-07T07:00:40.578782+00:00,89,10,0
OK5CiX698Pk,2025-10-06,2025-10-07T07:00:40.578789+00:00,472,29,1
7WXH-LJ3KK8,2025-10-06,2025-10-07T07:00:40.578799+00:00,746,60,9
EkDXgmAYdGI,2025-10-06,2025-10-07T07:00:40.578804+00:00,70,0,0
1U3Bx4ImWIY,2025-10-06,2025-10-07T07:00:40.578809+00:00,24,0,0
wJZiYiw6ZFw,2025-10-06,2025-10-07T07:00:40.578814+00:00,654,39,3
OxOcErJx40g,2025-10-06,2025-10-07T07:00:40.578820+00:00,11,1,0
-4ro8VpjJjI,2025-10-06,2025-10-07T07:00:40.578825+00:00,0,0,0
EolBlQ7gkks,2025-10-06,2025-10-07T07:00:40.578830+00:00,159,1,0
FG8uREsVO40,2025-10-06,2025-10-07T07:00:40.578835+00:00,460,48,4
o-xFdHZ0mN0,2025-10-06,2025-10-07T07:00:40.578839+00:00,307,1,0
9jXvoCNziig,2025-10-06,2025-10-07T07:00:40.578843+00:00,195,9,0
LxyYGZDwF2M,2025-10-06,2025-10-07T07:00:40.578848+00:00,8,1,0
b0I9Z4a-YVc,2025-10-06,2025-10-07T07:00:40.578853+00:00,200,1,0
tBERjiT0Yz8,2025-10-06,2025-10-07T07:00:40.578857+00:00,0,0,0
oHpcTCLmpuo,2025-10-06,2025-10-07T07:00:40.578862+00:00,14,1,0
tmHyQBVx_0Q,2025-10-06,2025-10-07T07:00:40.578867+00:00,0,0,0
nbCmVu1XYh4,2025-10-06,2025-10-07T07:00:40.578871+00:00,0,0,0
Ow5VPtg6PKs,2025-10-06,2025-10-07T07:00:40.578874+00:00,0,0,0
2UMSs9OWSk0,2025-10-06,2025-10-07T07:00:40.578878+00:00,0,0,0
BudRxJ4oE8A,2025-10-06,2025-10-07T07:00:40.578881+00:00,4,1,0
P3Bl7I-MCYM,2025-10-06,2025-10-07T07:00:40.578886+00:00,117,6,0
--FnNYXmF3U,2025-10-06,2025-10-07T07:00:40.578890+00:00,6,0,0
0IeIsZBI9aE,2025-10-07,2025-10-08T07:00:35.446413+00:00,220,3,0
EI00kj_fgSM,2025-10-07,2025-10-08T07:00:35.446469+00:00,89,10,0
OK5CiX698Pk,2025-10-07,2025-10-08T07:00:35.446479+00:00,483,30,1
7WXH-LJ3KK8,2025-10-07,2025-10-08T07:00:35.446487+00:00,754,60,9
EkDXgmAYdGI,2025-10-07,2025-10-08T07:00:35.446494+00:00,70,0,0
1U3Bx4ImWIY,2025-10-07,2025-10-08T07:00:35.446502+00:00,24,0,0
OxOcErJx40g,2025-10-07,2025-10-08T07:00:35.446510+00:00,11,1,0
-4ro8VpjJjI,2025-10-07,2025-10-08T07:00:35.446518+00:00,0,0,0
EolBlQ7gkks,2025-10-07,2025-10-08T07:00:35.446525+00:00,160,1,0
FG8uREsVO40,2025-10-07,2025-10-08T07:00:35.446533+00:00,483,49,4
o-xFdHZ0mN0,2025-10-07,2025-10-08T07:00:35.446540+00:00,312,1,0
9jXvoCNziig,2025-10-07,2025-10-08T07:00:35.446547+00:00,196,9,0
LxyYGZDwF2M,2025-10-07,2025-10-08T07:00:35.446555+00:00,9,1,0
b0I9Z4a-YVc,2025-10-07,2025-10-08T07:00:35.446561+00:00,202,1,0
tBERjiT0Yz8,2025-10-07,2025-10-08T07:00:35.446568+00:00,0,0,0
oHpcTCLmpuo,2025-10-07,2025-10-08T07:00:35.446575+00:00,15,1,0
tmHyQBVx_0Q,2025-10-07,2025-10-08T07:00:35.446581+00:00,0,0,0
nbCmVu1XYh4,2025-10-07,2025-10-08T07:00:35.446587+00:00,0,0,0
Ow5VPtg6PKs,2025-10-07,2025-10-08T07:00:35.446594+00:00,0,0,0
2UMSs9OWSk0,2025-10-07,2025-10-08T07:00:35.446600+00:00,0,0,0
BudRxJ4oE8A,2025-10-07,2025-10-08T07:00:35.446606+00:00,5,1,0
P3Bl7I-MCYM,2025-10-07,2025-10-08T07:00:35.446612+00:00,164,7,0
--FnNYXmF3U,2025-10-07,2025-10-08T07:00:35.446619+00:00,6,0,0
0IeIsZBI9aE,2025-10-08,2025-10-09T07:00:36.870210+00:00,222,3,0
EI00kj_fgSM,2025-10-08,2025-10-09T07:00:36.870268+00:00,93,10,0
OxOcErJx40g,2025-10-08,2025-10-09T07:00:36.870280+00:00,11,1,0
-4ro8VpjJjI,2025-10-08,2025-10-09T07:00:36.870290+00:00,0,0,0
EolBlQ7gkks,2025-10-08,2025-10-09T07:00:36.870297+00:00,166,1,0
FG8uREsVO40,2025-10-08,2025-10-09T07:00:36.870306+00:00,500,50,4
o-xFdHZ0mN0,2025-10-08,2025-10-09T07:00:36.870314+00:00,314,1,0
9jXvoCNziig,2025-10-08,2025-10-09T07:00:36.870322+00:00,198,9,0
LxyYGZDwF2M,2025-10-08,2025-10-09T07:00:36.870330+00:00,14,1,0
b0I9Z4a-YVc,2025-10-08,2025-10-09T07:00:36.870338+00:00,210,1,0
tBERjiT0Yz8,2025-10-08,2025-10-09T07:00:36.870346+00:00,0,0,0
oHpcTCLmpuo,2025-10-08,2025-10-09T07:00:36.870353+00:00,15,1,0
tmHyQBVx_0Q,2025-10-08,2025-10-09T07:00:36.870361+00:00,0,0,0
nbCmVu1XYh4,2025-10-08,2025-10-09T07:00:36.870367+00:00,0,0,0
Ow5VPtg6PKs,2025-10-08,2025-10-09T07:00:36.870374+00:00,0,0,0
2UMSs9OWSk0,2025-10-08,2025-10-09T07:00:36.870380+00:00,0,0,0
BudRxJ4oE8A,2025-10-08,2025-10-09T07:00:36.870387+00:00,10,1,0
P3Bl7I-MCYM,2025-10-08,2025-10-09T07:00:36.870394+00:00,190,8,0
--FnNYXmF3U,2025-10-08,2025-10-09T07:00:36.870402+00:00,6,0,0
l3fxE90Vvkw,2025-10-08,2025-10-09T07:00:36.870409+00:00,85,10,0
OxOcErJx40g,2025-10-09,2025-10-10T07:00:38.270532+00:00,11,1,0
-4ro8VpjJjI,2025-10-09,2025-10-10T07:00:38.270592+00:00,0,0,0
EolBlQ7gkks,2025-10-09,2025-10-10T07:00:38.270603+00:00,167,1,0
FG8uREsVO40,2025-10-09,2025-10-10T07:00:38.270612+00:00,509,51,4
o-xFdHZ0mN0,2025-10-09,2025-10-10T07:00:38.270620+00:00,316,1,0
9jXvoCNziig,2025-10-09,2025-10-10T07:00:38.270628+00:00,200,9,0
LxyYGZDwF2M,2025-10-09,2025-10-10T07:00:38.270636+00:00,15,1,0
b0I9Z4a-YVc,2025-10-09,2025-10-10T07:00:38.270643+00:00,211,1,0
tBERjiT0Yz8,2025-10-09,2025-10-10T07:00:38.270651+00:00,0,0,0
oHpcTCLmpuo,2025-10-09,2025-10-10T07:00:38.270658+00:00,15,1,0
tmHyQBVx_0Q,2025-10-09,2025-10-10T07:00:38.270665+00:00,0,0,0
nbCmVu1XYh4,2025-10-09,2025-10-10T07:00:38.270671+00:00,0,0,0
Ow5VPtg6PKs,2025-10-09,2025-10-10T07:00:38.270677+00:00,0,0,0
2UMSs9OWSk0,2025-10-09,2025-10-10T07:00:38.270683+00:00,0,0,0
BudRxJ4oE8A,2025-10-09,2025-10-10T07:00:38.270689+00:00,10,1,0
P3Bl7I-MCYM,2025-10-09,2025-10-10T07:00:38.270695+00:00,201,8,0
--FnNYXmF3U,2025-10-09,2025-10-10T07:00:38.270702+00:00,6,0,0
l3fxE90Vvkw,2025-10-09,2025-10-10T07:00:38.270709+00:00,105,11,0
TtOelZojciA,2025-10-09,2025-10-10T07:00:38.270716+00:00,60,9,0
_VEQ5jXc3Mw,2025-10-09,2025-10-10T07:00:38.270722+00:00,0,0,0
9jXvoCNziig,2025-10-10,2025-10-11T07:00:34.710810+00:00,202,9,0
LxyYGZDwF2M,2025-10-10,2025-10-11T07:00:34.710861+00:00,15,1,0
b0I9Z4a-YVc,2025-10-10,2025-10-11T07:00:34.710872+00:00,211,1,0
tBERjiT0Yz8,2025-10-10,2025-10-11T07:00:34.710880+00:00,0,0,0
oHpcTCLmpuo,2025-10-10,2025-10-11T07:00:34.710888+00:00,15,1,0
tmHyQBVx_0Q,2025-10-10,2025-10-11T07:00:34.710895+00:00,0,0,0
nbCmVu1XYh4,2025-10-10,2025-10-11T07:00:34.710901+00:00,0,0,0
Ow5VPtg6PKs,2025-10-10,2025-10-11T07:00:34.710908+00:00,0,0,0
2UMSs9OWSk0,2025-10-10,2025-10-11T07:00:34.710914+00:00,0,0,0
BudRxJ4oE8A,2025-10-10,2025-10-11T07:00:34.710921+00:00,10,1,0
P3Bl7I-MCYM,2025-10-10,2025-10-11T07:00:34.710928+00:00,215,8,0
--FnNYXmF3U,2025-10-10,2025-10-11T07:00:34.710935+00:00,6,0,0
l3fxE90Vvkw,2025-10-10,2025-10-11T07:00:34.710942+00:00,108,12,0
TtOelZojciA,2025-10-10,2025-10-11T07:00:34.710949+00:00,76,10,0
_VEQ5jXc3Mw,2025-10-10,2025-10-11T07:00:34.710956+00:00,0,0,0
-5nX3PxzCqc,2025-10-10,2025-10-11T07:00:34.710963+00:00,81,2,0
LxyYGZDwF2M,2025-10-11,2025-10-12T07:00:32.511237+00:00,15,1,0
b0I9Z4a-YVc,2025-10-11,2025-10-12T07:00:32.511322+00:00,214,1,0
tBERjiT0Yz8,2025-10-11,2025-10-12T07:00:32.511369+00:00,0,0,0
oHpcTCLmpuo,2025-10-11,2025-10-12T07:00:32.511380+00:00,15,1,0
tmHyQBVx_0Q,2025-10-11,2025-10-12T07:00:32.511388+00:00,0,0,0
nbCmVu1XYh4,2025-10-11,2025-10-12T07:00:32.511396+00:00,0,0,0
Ow5VPtg6PKs,2025-10-11,2025-10-12T07:00:32.511402+00:00,0,0,0
2UMSs9OWSk0,2025-10-11,2025-10-12T07:00:32.511409+00:00,0,0,0
BudRxJ4oE8A,2025-10-11,2025-10-12T07:00:32.511416+00:00,10,1,0
P3Bl7I-MCYM,2025-10-11,2025-10-12T07:00:32.511423+00:00,220,8,0
--FnNYXmF3U,2025-10-11,2025-10-12T07:00:32.511431+00:00,6,0,0
l3fxE90Vvkw,2025-10-11,2025-10-12T07:00:32.511438+00:00,109,12,0
TtOelZojciA,2025-10-11,2025-10-12T07:00:32.511445+00:00,86,10,0
_VEQ5jXc3Mw,2025-10-11,2025-10-12T07:00:32.511452+00:00,0,0,0
-5nX3PxzCqc,2025-10-11,2025-10-12T07:00:32.511459+00:00,182,2,0
4B5Rb6DxsZw,2025-10-11,2025-10-12T07:00:32.511466+00:00,0,0,0
BudRxJ4oE8A,2025-10-12,2025-10-13T07:00:38.984707+00:00,10,1,0
P3Bl7I-MCYM,2025-10-12,2025-10-13T07:00:38.984761+00:00,226,8,0
--FnNYXmF3U,2025-10-12,2025-10-13T07:00:38.984771+00:00,6,0,0
l3fxE90Vvkw,2025-10-12,2025-10-13T07:00:38.984779+00:00,109,12,0
TtOelZojciA,2025-10-12,2025-10-13T07:00:38.984786+00:00,87,10,0
_VEQ5jXc3Mw,2025-10-12,2025-10-13T07:00:38.984793+00:00,0,0,0
-5nX3PxzCqc,2025-10-12,2025-10-13T07:00:38.984799+00:00,193,2,0
4B5Rb6DxsZw,2025-10-12,2025-10-13T07:00:38.984806+00:00,0,0,0
7-6OiMADa38,2025-10-12,2025-10-13T07:00:38.984813+00:00,2352,206,1
K4X6khU3e18,2025-10-12,2025-10-13T07:00:38.984820+00:00,750,42,1
8fFLTyMxS7g,2025-10-12,2025-10-13T07:00:38.984827+00:00,458,4,0
4oqsqFNuVW4,2025-10-12,2025-10-13T07:00:38.984833+00:00,69,1,0
l_jDoTD12Pk,2025-10-12,2025-10-13T07:00:38.984840+00:00,41,3,0
AoFBe54IggA,2025-10-12,2025-10-13T07:00:38.984847+00:00,16,0,0
Ue8HKm5Y8_o,2025-10-12,2025-10-13T07:00:38.984854+00:00,15,2,0
dZ6VvuKp6TY,2025-10-12,2025-10-13T07:00:38.984860+00:00,12,0,0
xIJzg5GOFrc,2025-10-12,2025-10-13T07:00:38.984866+00:00,8,0,0
1KytEdoYS24,2025-10-12,2025-10-13T07:00:38.984873+00:00,7,0,0
D8wkAQQKZQg,2025-10-12,2025-10-13T07:00:38.984879+00:00,6,0,0
3283aq9aEek,2025-10-12,2025-10-13T07:00:38.984885+00:00,5,0,0
l3fxE90Vvkw,2025-10-13,2025-10-14T07:00:37.950516+00:00,110,12,0
TtOelZojciA,2025-10-13,2025-10-14T07:00:37.950568+00:00,90,10,0
_VEQ5jXc3Mw,2025-10-13,2025-10-14T07:00:37.950577+00:00,0,0,0
-5nX3PxzCqc,2025-10-13,2025-10-14T07:00:37.950585+00:00,195,2,0
4B5Rb6DxsZw,2025-10-13,2025-10-14T07:00:37.950593+00:00,0,0,0
7-6OiMADa38,2025-10-13,2025-10-14T07:00:37.950601+00:00,2742,225,4
K4X6khU3e18,2025-10-13,2025-10-14T07:00:37.950609+00:00,871,47,1
8fFLTyMxS7g,2025-10-13,2025-10-14T07:00:37.950617+00:00,483,4,0
4oqsqFNuVW4,2025-10-13,2025-10-14T07:00:37.950624+00:00,76,1,0
l_jDoTD12Pk,2025-10-13,2025-10-14T07:00:37.950631+00:00,49,4,0
AoFBe54IggA,2025-10-13,2025-10-14T07:00:37.950638+00:00,0,0,0
Ue8HKm5Y8_o,2025-10-13,2025-10-14T07:00:37.950645+00:00,15,2,0
dZ6VvuKp6TY,2025-10-13,2025-10-14T07:00:37.950652+00:00,0,0,0
xIJzg5GOFrc,2025-10-13,2025-10-14T07:00:37.950659+00:00,0,0,0
1KytEdoYS24,2025-10-13,2025-10-14T07:00:37.950665+00:00,9,0,0
D8wkAQQKZQg,2025-10-13,2025-10-14T07:00:37.950672+00:00,0,0,0
3283aq9aEek,2025-10-13,2025-10-14T07:00:37.950677+00:00,0,0,0
SOOe0zVL50U,2025-10-13,2025-10-14T07:00:37.950684+00:00,590,45,7
5P1vNJ4Npzg,2025-10-13,2025-10-14T07:00:37.950691+00:00,9,0,0
l3fxE90Vvkw,2025-10-14,2025-10-15T07:00:37.888737+00:00,111,11,0
TtOelZojciA,2025-10-14,2025-10-15T07:00:37.888789+00:00,94,9,0
_VEQ5jXc3Mw,2025-10-14,2025-10-15T07:00:37.888799+00:00,1,0,0
-5nX3PxzCqc,2025-10-14,2025-10-15T07:00:37.888806+00:00,196,2,0
4B5Rb6DxsZw,2025-10-14,2025-10-15T07:00:37.888813+00:00,0,0,0
7-6OiMADa38,2025-10-14,2025-10-15T07:00:37.888820+00:00,2852,233,6
K4X6khU3e18,2025-10-14,2025-10-15T07:00:37.888828+00:00,941,48,1
8fFLTyMxS7g,2025-10-14,2025-10-15T07:00:37.888835+00:00,493,4,0
4oqsqFNuVW4,2025-10-14,2025-10-15T07:00:37.888841+00:00,104,1,0
l_jDoTD12Pk,2025-10-14,2025-10-15T07:00:37.888848+00:00,58,5,0
AoFBe54IggA,2025-10-14,2025-10-15T07:00:37.888854+00:00,0,0,0
Ue8HKm5Y8_o,2025-10-14,2025-10-15T07:00:37.888861+00:00,17,2,0
dZ6VvuKp6TY,2025-10-14,2025-10-15T07:00:37.888867+00:00,0,0,0
xIJzg5GOFrc,2025-10-14,2025-10-15T07:00:37.888873+00:00,0,0,0
1KytEdoYS24,2025-10-14,2025-10-15T07:00:37.888879+00:00,10,0,0
D8wkAQQKZQg,2025-10-14,2025-10-15T07:00:37.888885+00:00,0,0,0
3283aq9aEek,2025-10-14,2025-10-15T07:00:37.888891+00:00,0,0,0
SOOe0zVL50U,2025-10-14,2025-10-15T07:00:37.888898+00:00,655,46,7
5P1vNJ4Npzg,2025-10-14,2025-10-15T07:00:37.888905+00:00,10,0,0
eXWPQq7OxVY,2025-10-14,2025-10-15T07:00:37.888911+00:00,34,2,0
TtOelZojciA,2025-10-15,2025-10-16T07:00:36.237942+00:00,94,9,0
_VEQ5jXc3Mw,2025-10-15,2025-10-16T07:00:36.238016+00:00,1,0,0
-5nX3PxzCqc,2025-10-15,2025-10-16T07:00:36.238027+00:00,198,2,0
4B5Rb6DxsZw,2025-10-15,2025-10-16T07:00:36.238035+00:00,0,0,0
7-6OiMADa38,2025-10-15,2025-10-16T07:00:36.238042+00:00,2977,239,6
K4X6khU3e18,2025-10-15,2025-10-16T07:00:36.238051+00:00,1087,49,1
8fFLTyMxS7g,2025-10-15,2025-10-16T07:00:36.238057+00:00,504,4,0
4oqsqFNuVW4,2025-10-15,2025-10-16T07:00:36.238064+00:00,110,1,0
l_jDoTD12Pk,2025-10-15,2025-10-16T07:00:36.238071+00:00,66,6,0
AoFBe54IggA,2025-10-15,2025-10-16T07:00:36.238078+00:00,0,0,0
Ue8HKm5Y8_o,2025-10-15,2025-10-16T07:00:36.238085+00:00,17,2,0
dZ6VvuKp6TY,2025-10-15,2025-10-16T07:00:36.238091+00:00,0,0,0
xIJzg5GOFrc,2025-10-15,2025-10-16T07:00:36.238097+00:00,0,0,0
1KytEdoYS24,2025-10-15,2025-10-16T07:00:36.238103+00:00,11,0,0
D8wkAQQKZQg,2025-10-15,2025-10-16T07:00:36.238110+00:00,0,0,0
3283aq9aEek,2025-10-15,2025-10-16T07:00:36.238116+00:00,0,0,0
SOOe0zVL50U,2025-10-15,2025-10-16T07:00:36.238122+00:00,710,47,7
5P1vNJ4Npzg,2025-10-15,2025-10-16T07:00:36.238128+00:00,12,0,0
eXWPQq7OxVY,2025-10-15,2025-10-16T07:00:36.238135+00:00,34,2,0
CiihwR9rnlo,2025-10-15,2025-10-16T07:00:36.238142+00:00,85,2,0
KVKJvCwe95M,2025-10-15,2025-10-16T07:00:36.238148+00:00,116,15,0
gSdewMNfUwI,2025-10-15,2025-10-16T07:00:36.238155+00:00,72,0,0
-5nX3PxzCqc,2025-10-16,2025-10-17T07:11:12.950311+00:00,198,2,0
4B5Rb6DxsZw,2025-10-16,2025-10-17T07:11:12.950408+00:00,0,0,0
7-6OiMADa38,2025-10-16,2025-10-17T07:11:12.950422+00:00,3044,239,7
K4X6khU3e18,2025-10-16,2025-10-17T07:11:12.950431+00:00,1151,50,1
8fFLTyMxS7g,2025-10-16,2025-10-17T07:11:12.950439+00:00,508,4,0
4oqsqFNuVW4,2025-10-16,2025-10-17T07:11:12.950446+00:00,111,1,0
l_jDoTD12Pk,2025-10-16,2025-10-17T07:11:12.950454+00:00,68,6,0
AoFBe54IggA,2025-10-16,2025-10-17T07:11:12.950461+00:00,0,0,0
Ue8HKm5Y8_o,2025-10-16,2025-10-17T07:11:12.950469+00:00,17,2,0
dZ6VvuKp6TY,2025-10-16,2025-10-17T07:11:12.950476+00:00,0,0,0
xIJzg5GOFrc,2025-10-16,2025-10-17T07:11:12.950483+00:00,0,0,0
1KytEdoYS24,2025-10-16,2025-10-17T07:11:12.950489+00:00,11,0,0
D8wkAQQKZQg,2025-10-16,2025-10-17T07:11:12.950496+00:00,0,0,0
